date,dist
2009/7/20,250
2009/7/22,300
2009/7/24,600
2009/7/27,550
2009/7/29,750
2009/7/30,1100
2009/8/01,1000
2009/8/04,1000
2009/8/05,700
2009/8/13,1200
2009/8/19,700
2010/2/24,1000
2010/2/25,1000
2010/2/26,1000
2010/3/04,700
2010/3/10,1000
2010/3/12,1050
2010/6/04,500
2010/6/08,600
2010/7/30,800
2010/7/31,500
2010/8/01,1000
2010/8/03,1000
2011/8/22,700
2011/8/23,1050
2011/8/25,1050
2011/8/29,1085
2011/9/11,1085
2011/10/05,700
2011/10/07,350
2012/2/26,500
2013/5/10,1000
2013/5/12,1000
2013/5/13,1000
2013/5/20,1000
2013/5/23,815
2013/8/10,700
2013/8/11,700
2013/8/12,350
2013/8/18,700
2013/8/24,385
2013/8/25,700
2013/10/1,455
2013/10/3,385
2013/10/6,385
2013/10/12,735
2013/10/15,700
